Sao Tome and Principe,233213522.6
Suriname,4422276622
Slovak Republic,98181259740
Slovenia,51290792018
Sweden,5.6311E+11
Eswatini,4820499924
Sint Maarten (Dutch part),
Seychelles,1065826670
Syrian Arab Republic,
Turks and Caicos Islands,
Chad,12156380425
East Asia & Pacific (IDA & IBRD countries),9.61724E+12
Europe & Central Asia (IDA & IBRD countries),4.41986E+12
Togo,3756023160
Thailand,3.70819E+11
Tajikistan,6522732203
Turkmenistan,29233333333
Latin America & the Caribbean (IDA & IBRD countries),5.87041E+12
Timor-Leste,5681940845
Middle East & North Africa (IDA & IBRD countries),1.55806E+12
Tonga,423011844.3
South Asia (IDA & IBRD),2.272E+12
Sub-Saharan Africa (IDA & IBRD countries),1.53845E+12
Trinidad and Tobago,25433011405
Tunisia,45810626509
Turkey,8.32524E+11
Tuvalu,38711827.75
Tanzania,33878631649
Uganda,20176025418
Ukraine,1.6316E+11
Upper middle income,1.83653E+13
Uruguay,47962439304
USA,1.55179E+13
Uzbekistan,45915191189
St. Vincent and the Grenadines,676129407.4
"Venezuela, RB",3.16482E+11
British Virgin Islands,
Virgin Islands (U.S.),4239000000
Vietnam,1.35539E+11
Vanuatu,792149700.7
World,7.32973E+13
Samoa,739785121.9
Kosovo,6686683347
"Yemen, Rep.",32726417212
RSA,4.16878E+11
Zambia,23460098340
Zimbabwe,12098450700
